title,year,audio_languages,audio_quality,subtitle_languages,encoding,imdb_link,imdb_id
Annie Hall,1977,,,,,https://www.imdb.com/title/tt0075686/,75686
Jaws,1975,,,,,https://www.imdb.com/title/tt0073195/,73195
"Crouching Tiger, Hidden Dragon",2000,,,,,https://www.imdb.com/title/tt0190332/,190332
High Noon,1952,,,,,https://www.imdb.com/title/tt0044706/,44706
Strangers on a Train,1951,,,,,https://www.imdb.com/title/tt0044079/,44079
Donnie Darko,2001,,,,,https://www.imdb.com/title/tt0246578/,246578
Duck Soup,1933,,,,,https://www.imdb.com/title/tt0023969/,23969
"Princess Bride, The",1987,,,,,https://www.imdb.com/title/tt0093779/,93779
Notorious,1946,,,,,https://www.imdb.com/title/tt0038787/,38787
"Best Years of Our Lives, The",1946,,,,,https://www.imdb.com/title/tt0036868/,36868
"Big Sleep, The",1946,,,,,https://www.imdb.com/title/tt0038355/,38355
Run Lola Run,1998,,,,,https://www.imdb.com/title/tt0130827/,130827
Toy Story 2,1999,,,,,https://www.imdb.com/title/tt0120363/,120363
Patton,1970,,,,,https://www.imdb.com/title/tt0066206/,66206
Butch Cassidy and the Sundance Kid,1969,,,,,https://www.imdb.com/title/tt0064115/,64115
"Graduate, The",1967,,,,,https://www.imdb.com/title/tt0061722/,61722
Kill Bill: Vol. 2,2004,,,,,https://www.imdb.com/title/tt0378194/,378194
Dogville,2003,,,,,https://www.imdb.com/title/tt0276919/,276919
Glory,1989,,,,,https://www.imdb.com/title/tt0097441/,97441
Manhattan,1979,,,,,https://www.imdb.com/title/tt0079522/,79522
Mystic River,2003,,,,,https://www.imdb.com/title/tt0327056/,327056
"Philadelphia Story, The",1940,,,,,https://www.imdb.com/title/tt0032904/,32904
"African Queen, The",1951,,,,,https://www.imdb.com/title/tt0043265/,43265
"Searchers, The",1956,,,,,https://www.imdb.com/title/tt0049730/,49730
Talk to Her,2002,,,,,https://www.imdb.com/title/tt0287467/,287467
Bringing Up Baby,1938,,,,,https://www.imdb.com/title/tt0029947/,29947
Stalag 17,1953,,,,,https://www.imdb.com/title/tt0046359/,46359
"Grapes of Wrath, The",1940,,,,,https://www.imdb.com/title/tt0032551/,32551
Shrek,2001,,,,,https://www.imdb.com/title/tt0126029/,126029
Arsenic and Old Lace,1944,,,,,https://www.imdb.com/title/tt0036613/,36613
"Night of the Hunter, The",1955,,,,,https://www.imdb.com/title/tt0048424/,48424
"Straight Story, The",1999,,,,,https://www.imdb.com/title/tt0166896/,166896
"Wild Bunch, The",1969,,,,,https://www.imdb.com/title/tt0065214/,65214
"Christmas Story, A",1983,,,,,https://www.imdb.com/title/tt0085334/,85334
All Quiet on the Western Front,1930,,,,,https://www.imdb.com/title/tt0020629/,20629
Lost in Translation,2003,,,,,https://www.imdb.com/title/tt0335266/,335266
"Hustler, The",1961,,,,,https://www.imdb.com/title/tt0054997/,54997
Young Frankenstein,1974,,,,,https://www.imdb.com/title/tt0072431/,72431
"Adventures of Robin Hood, The",1938,,,,,https://www.imdb.com/title/tt0029843/,29843
Spider-Man 2,2004,,,,,https://www.imdb.com/title/tt0316654/,316654
His Girl Friday,1940,,,,,https://www.imdb.com/title/tt0032599/,32599
Battleship Potemkin,1925,,,,,https://www.imdb.com/title/tt0015648/,15648
"Grande Illusion, La",1937,,,,,https://www.imdb.com/title/tt0028950/,28950
Spartacus,1960,,,,,https://www.imdb.com/title/tt0054331/,54331
"Man Who Shot Liberty Valance, The",1962,,,,,https://www.imdb.com/title/tt0056217/,56217
Charade,1963,,,,,https://www.imdb.com/title/tt0056923/,56923
Hero,2002,,,,,https://www.imdb.com/title/tt0299977/,299977
"Celebration, The",1998,,,,,https://www.imdb.com/title/tt0154420/,154420
